Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,66.1,0,0,88.97,105.5946,2.734311,0,0,0,0,0,0,84,84,0,0
0.010,S,0.010,0.010,0,0.6408005,0,57.35142,66.1,0,0,88.94582,105.5946,2.738287,0,0,0,0,0,0,84,84,0,0
0.02,S,0.02,0.010,0,0.6408005,0,512.8682,66.09978,0,0,88.92165,105.5946,2.742264,217.666332320408,216.096553391447,26.0942874621231,2.17666279691882,2.160965,0.2609429,84,84,0.01080482,0.001304714
0.03,S,0.03,0.010,0,0.6408005,0,968.3851,66.08733,0.0006460903,0,88.89747,105.5946,2.74624,439.464102175383,436.692334008649,49.279838868388,6.57125921905161,6.527888,0.7537413,84,84,0.05424909,0.006378135
0.04,S,0.04,0.010,0,0.6408008,0,1423.902,66.05445,0.005888541,0,88.8733,105.5946,2.750216,661.566460858534,657.582289334202,72.4963094707354,13.1868791308552,13.10371,1.478704,84,84,0.1524071,0.01754036
0.05,S,0.05,0.01163343,0,0.6212384,0,1579.306,66.00116,0.02298945,0,88.84912,105.5946,2.754193,737.87289289537,733.471585917659,80.4725960884641,20.5655895583896,20.43843,2.28343,84,84,0.3201178,0.03635103
0.05999999,S,0.05999999,0.01814292,0,0.5685269,0,1534.634,65.93149,0.05117024,0,88.82494,105.5946,2.758169,716.87353687499,712.58704331799,78.2775419068708,27.7343154520161,27.5643,3.066206,84,84,0.5601314,0.06309921
0.06999999,S,0.06999999,0.02446718,0,0.5366299,0,1538.362,65.86203,0.08783974,0,88.80077,105.5946,2.762146,719.466171170983,715.165503153374,78.5485490560842,34.9289765429755,34.71596,3.851691,84,84,0.8715327,0.0976887
0.07999999,S,0.07999999,0.03081433,0,0.5137754,0,1549.909,65.79381,0.1333898,0,88.77659,105.5946,2.766122,725.869793603147,721.53411481929,79.2179172751935,42.1876693729723,41.9313,4.64387,84,84,1.254769,0.1401665
0.08999999,S,0.08999999,0.037218,0,0.4961069,0,1509.766,65.72469,0.1878967,0,88.75241,105.5946,2.770098,706.989126511359,702.756671076434,77.2443283540123,49.2575618565052,48.95887,5.416313,84,84,1.70922,0.1904674
0.09999999,S,0.09999999,0.04345513,0,0.4822636,0,1507.473,65.65644,0.248999,0,88.72824,105.5946,2.774075,706.603733077858,702.373384556445,77.2040430695722,56.3235938855051,55.9826,6.188354,84,84,2.233927,0.2484907
0.11,S,0.11,0.04968888,0,0.4707376,0,1524.966,65.58948,0.3177755,0,88.70406,105.5946,2.778051,715.904959777119,711.62376155389,78.1762970814722,63.4826444126553,63.09884,6.970117,84,84,2.829334,0.3142831
